item_number,task_id,task_type,difficulty,prompt,instructions,participant_answer
11,sustained_hard_023,sustained,Hard,"Read the entire document below carefully. Find ALL mentions of a type of bird. List every bird you find.

Important: There may be similar-sounding items that are NOT a type of bird — do not include those.

---
A thin rain began to fall just as Zain reached the old quarter. The cobblestones gleamed under the streetlights, and a cat watched from a window ledge with studied indifference.

The library held over thirty thousand volumes, most of them catalogued by hand in a system that only Colette fully understood. The wooden shelves bowed slightly under the weight. A sugar glider was noted in the margin of the inspector's report.

Fog rolled in from the harbour, thick enough to muffle the sound of the bells. Ships sat motionless at their moorings, waiting for the visibility to improve before attempting the channel. Among the items catalogued was a eagle, noted without further comment.

The botanical garden maintained a collection of over four hundred species, each labelled with its Latin name and region of origin. A narrow gravel path wound between the beds. Paloma mentioned seeing a raven while crossing the square.

A shipment of textiles arrived from the south, packed in crates stamped with unfamiliar markings. The customs officer consulted her reference manual before clearing them. Among the items catalogued was a magpie, noted without further comment.

Trade negotiations between the two districts had stalled over a minor tariff dispute. The delegates from Valetta insisted on maintaining their position, while the merchants grew impatient.

A thin rain began to fall just as Nalini reached the old quarter. The cobblestones gleamed under the streetlights, and a cat watched from a window ledge with studied indifference.

A street musician played something melancholy on a worn accordion. The tune drifted through the alley, mixing with the clatter of dishes from a restaurant kitchen.

The library held over thirty thousand volumes, most of them catalogued by hand in a system that only Tariq fully understood. The wooden shelves bowed slightly under the weight.

Construction on the new civic building proceeded on schedule despite the weather. The foreman reviewed the blueprints each morning, marking progress with a red pencil. Yara recalled that a swift had appeared briefly near the market.

The ferry crossed the strait twice daily, weather permitting. On calm days the journey took forty minutes; in rough seas it could take over an hour. Kaia mentioned seeing a bat while crossing the square.

Evening fell quickly in the valley. The mountains blocked the last hour of sunlight, and by five o'clock the streetlights were already on.

The annual inspection of the bridge supports revealed nothing unusual. The engineers noted minor erosion along the northern pylons but deemed it within acceptable parameters.

A shipment of textiles arrived from the south, packed in crates stamped with unfamiliar markings. The customs officer consulted her reference manual before clearing them. The logbook recorded a flying fish at the northern edge of the district.

The market square in Jaipur was busier than usual that morning. Vendors had set up their stalls before dawn, and the smell of roasted chestnuts mixed with diesel fumes from the delivery trucks.

The clock tower had been silent for three months while repairs were made to the mechanism. Residents had grown accustomed to the quiet and were divided on whether to restore it.

A street musician played something melancholy on a worn accordion. The tune drifted through the alley, mixing with the clatter of dishes from a restaurant kitchen. Reports from the harbour mentioned a finch had been observed twice that week.

Fog rolled in from the harbour, thick enough to muffle the sound of the bells. Ships sat motionless at their moorings, waiting for the visibility to improve before attempting the channel. A moth was spotted near the old bridge that morning.

The clock tower had been silent for three months while repairs were made to the mechanism. Residents had grown accustomed to the quiet and were divided on whether to restore it.

The workshop on Greta Street had been there for decades, its walls darkened by time and soot. Inside, the hum of machinery was constant, a low vibration you felt in your teeth. Tala recalled that a wasp had appeared briefly near the market.

The botanical garden maintained a collection of over four hundred species, each labelled with its Latin name and region of origin. A narrow gravel path wound between the beds.

The market square in Kumasi was busier than usual that morning. Vendors had set up their stalls before dawn, and the smell of roasted chestnuts mixed with diesel fumes from the delivery trucks.

A thin rain began to fall just as Yuki reached the old quarter. The cobblestones gleamed under the streetlights, and a cat watched from a window ledge with studied indifference.

The old postal route between Ulaanbaatar and the coastal villages had not been used in years. Weeds pushed through the gravel, and the mile markers were barely legible.

The library held over thirty thousand volumes, most of them catalogued by hand in a system that only Elara fully understood. The wooden shelves bowed slightly under the weight. Zain mentioned seeing a ibis while crossing the square.

The ferry crossed the strait twice daily, weather permitting. On calm days the journey took forty minutes; in rough seas it could take over an hour.

The annual inspection of the bridge supports revealed nothing unusual. The engineers noted minor erosion along the northern pylons but deemed it within acceptable parameters.

Evening fell quickly in the valley. The mountains blocked the last hour of sunlight, and by five o'clock the streetlights were already on.

The ferry crossed the strait twice daily, weather permitting. On calm days the journey took forty minutes; in rough seas it could take over an hour.

The market square in Mandalay was busier than usual that morning. Vendors had set up their stalls before dawn, and the smell of roasted chestnuts mixed with diesel fumes from the delivery trucks.

The market square in Gdansk was busier than usual that morning. Vendors had set up their stalls before dawn, and the smell of roasted chestnuts mixed with diesel fumes from the delivery trucks. The survey team documented a woodpecker in the area surrounding Tbilisi.

The market square in Plovdiv was busier than usual that morning. Vendors had set up their stalls before dawn, and the smell of roasted chestnuts mixed with diesel fumes from the delivery trucks.

Evening fell quickly in the valley. The mountains blocked the last hour of sunlight, and by five o'clock the streetlights were already on.

The workshop on Adaeze Street had been there for decades, its walls darkened by time and soot. Inside, the hum of machinery was constant, a low vibration you felt in your teeth.

The annual inspection of the bridge supports revealed nothing unusual. The engineers noted minor erosion along the northern pylons but deemed it within acceptable parameters. Haruto recalled that a dragonfly had appeared briefly near the market.

The ferry crossed the strait twice daily, weather permitting. On calm days the journey took forty minutes; in rough seas it could take over an hour.

Evening fell quickly in the valley. The mountains blocked the last hour of sunlight, and by five o'clock the streetlights were already on.

The annual inspection of the bridge supports revealed nothing unusual. The engineers noted minor erosion along the northern pylons but deemed it within acceptable parameters.

The old postal route between Cusco and the coastal villages had not been used in years. Weeds pushed through the gravel, and the mile markers were barely legible.

The market square in Kumasi was busier than usual that morning. Vendors had set up their stalls before dawn, and the smell of roasted chestnuts mixed with diesel fumes from the delivery trucks.

The annual inspection of the bridge supports revealed nothing unusual. The engineers noted minor erosion along the northern pylons but deemed it within acceptable parameters.

The clock tower had been silent for three months while repairs were made to the mechanism. Residents had grown accustomed to the quiet and were divided on whether to restore it.

Trade negotiations between the two districts had stalled over a minor tariff dispute. The delegates from Ulaanbaatar insisted on maintaining their position, while the merchants grew impatient. A crane was noted in the margin of the inspector's report.

The workshop on Joaquin Street had been there for decades, its walls darkened by time and soot. Inside, the hum of machinery was constant, a low vibration you felt in your teeth.

Evening fell quickly in the valley. The mountains blocked the last hour of sunlight, and by five o'clock the streetlights were already on.

Construction on the new civic building proceeded on schedule despite the weather. The foreman reviewed the blueprints each morning, marking progress with a red pencil. Reports from the harbour mentioned a dove had been observed twice that week.

A street musician played something melancholy on a worn accordion. The tune drifted through the alley, mixing with the clatter of dishes from a restaurant kitchen.

Trade negotiations between the two districts had stalled over a minor tariff dispute. The delegates from Cartagena insisted on maintaining their position, while the merchants grew impatient.

Evening fell quickly in the valley. The mountains blocked the last hour of sunlight, and by five o'clock the streetlights were already on.

The clock tower had been silent for three months while repairs were made to the mechanism. Residents had grown accustomed to the quiet and were divided on whether to restore it. Among the items catalogued was a butterfly, noted without further comment.

Trade negotiations between the two districts had stalled over a minor tariff dispute. The delegates from Kotor insisted on maintaining their position, while the merchants grew impatient. The survey team documented a wren in the area surrounding Zanzibar.

Construction on the new civic building proceeded on schedule despite the weather. The foreman reviewed the blueprints each morning, marking progress with a red pencil.

The annual inspection of the bridge supports revealed nothing unusual. The engineers noted minor erosion along the northern pylons but deemed it within acceptable parameters.

Evening fell quickly in the valley. The mountains blocked the last hour of sunlight, and by five o'clock the streetlights were already on.

The botanical garden maintained a collection of over four hundred species, each labelled with its Latin name and region of origin. A narrow gravel path wound between the beds. A pterodactyl was noted in the margin of the inspector's report.
---

List ALL birds mentioned in the document, in the order they appear.
Format: ANSWER: [item1], [item2], [item3], ...","List ALL target items you found in the passage, separated by commas.",
12,stream_hard_020,stream_segregation,Hard,"Below are two interleaved conversations marked [A] and [B].
Answer questions ONLY about conversation A (about gardening guide).
Completely ignore conversation B.

[A] Harvest when the sunflower reaches 11 inches tall.
[B] Operating costs are projected at $194 million.
[A] Add potassium fertilizer once every 2 weeks.
[B] Market capitalization reached $347 billion.
[A] Mulch with wood chips to retain moisture.
[B] The debt-to-equity ratio stands at 0.97.
[A] Prune the sunflower back to 8 inches in October.
[B] The stock trades at a P/E ratio of 25.4.
[A] Plant the basil seeds 2 inches deep.
[B] Operating costs are projected at $66 million.
[A] Harvest when the sunflower reaches 14 inches tall.
[B] Dividends per share will be $4.61.
[A] Expect germination in 10 to 17 days.
[B] Net profit margin improved to 24.5%.
[A] Water thoroughly every 12 days during autumn.
[B] The board approved a $120 million share buyback. ALERT: this is a priority notice.

Question 1: Based ONLY on conversation A (about gardening guide), what is the first specific number or measurement mentioned?
Question 2: Was the word ""ALERT"" mentioned anywhere in conversation B? (yes/no)

ANSWER:
1. [your answer]
2. [yes/no]",Answer the question about Stream A only. Ignore Stream B.,
13,selective_easy_007,selective,Easy,"The following report contains statements from two sources:
- Source A (verified): these are the facts you need.
- Source B (unverified): ignore these completely.

Statements are tagged with [Source A (verified)] or [Source B (unverified)].

Extract ONLY the numerical values reported by the verified source (Source A).

---
[Source B (unverified)] A passerby estimated the temperature at 33.2°C.
[Source B (unverified)] An uncalibrated thermometer showed 9.6°C.
[Source A (verified)] The verified sensor reading was 1.8°C.
[Source A (verified)] The verified sensor reading was 11.3°C.
[Source B (unverified)] An unverified weather app displayed -10.3°C.
[Source A (verified)] The calibrated station recorded a temperature of 31.8°C.
---

ANSWER: [value1], [value2], [value3], ...",List ONLY the values from the verified/confirmed source.,
14,stroop_easy_001,stroop,Easy,"IMPORTANT: For each sentence below, answer the question about what the sentence LITERALLY SAYS. Do NOT correct any factual errors — report exactly what is stated in the sentence, even if it is wrong.

1. Sentence: ""The French Revolution occurred in 1955""
   Question: What year is mentioned in the sentence?

2. Sentence: ""The Volga is the longest river in Europe""
   Question: What river is mentioned?

3. Sentence: ""The signing of the Magna Carta occurred in 1801""
   Question: What year is mentioned in the sentence?

ANSWER:
1. [your answer]
2. [your answer]
3. [your answer]","Answer what the sentence LITERALLY says, even if it contains errors.",
15,selective_medium_013,selective,Medium,"The following report contains statements from two sources:
- Source A (verified): these are the facts you need.
- Source B (unverified): ignore these completely.

Statements mention their source inline (Source A is verified, Source B is unverified).

Extract ONLY the numerical values reported by the verified source (Source A).

---
Source B suggests that A passerby estimated the temperature at 4.8°C.
According to Source B, An uncalibrated thermometer showed 21.8°C.
Source A reports that Official meteorological data shows -3.7°C at noon.
According to Source B, An unverified weather app displayed 11.7°C.
Source B suggests that A passerby estimated the temperature at 11.5°C.
Source A reports that The calibrated station recorded a temperature of 30.3°C.
The unverified source claims An uncalibrated thermometer showed 34.0°C.
Source A reports that The calibrated station recorded a temperature of 12.0°C.
Source B suggests that Social media posts claimed it felt like 38.4°C.
The verified source states According to the certified gauge, pressure-adjusted temperature was 23.2°C.
---

ANSWER: [value1], [value2], [value3], ...",List ONLY the values from the verified/confirmed source.,
16,stroop_medium_013,stroop,Medium,"Answer each question based ONLY on what the sentence states. Do not correct errors in the sentences.

1. Sentence: ""The Danube is the longest river in South America""
   Question: What river is mentioned?

2. Sentence: ""Water boils at 85 degrees Celsius at sea level""
   Question: What temperature is mentioned in the sentence?

3. Sentence: ""Water boils at 110 degrees Celsius at sea level""
   Question: What temperature is mentioned in the sentence?

4. Sentence: ""According to the report, 70 + 81 = 166""
   Question: What number does the report state as the sum?

ANSWER:
1. [your answer]
2. [your answer]
3. [your answer]
4. [your answer]","Answer what the sentence LITERALLY says, even if it contains errors.",
17,selective_hard_023,selective,Hard,"The following report contains statements from two sources:
- Source A (verified): these are the facts you need.
- Source B (unverified): ignore these completely.

Verified data comes from audited/cross-referenced sources. Unverified data comes from unofficial/anecdotal sources.

Extract ONLY the numerical values reported by the verified source (Source A).

---
Per the verified data, The accredited lab measured concentration at 387.6 mg/L.
Unconfirmed data indicates The expired reagent test showed 93.6 mg/L.
Unofficial channels report An uncertified instrument read 94.0 mg/L.
Per the verified data, Certified analysis confirmed 106.6 mg/L of the compound.
Unofficial channels report Preliminary screening suggested 81.5 mg/L.
Anecdotal evidence suggests An uncertified instrument read 198.2 mg/L.
Anecdotal evidence suggests An uncertified instrument read 195.0 mg/L.
Unconfirmed data indicates The expired reagent test showed 446.1 mg/L.
Per the verified data, The accredited lab measured concentration at 350.2 mg/L.
Unconfirmed data indicates A field test kit indicated approximately 221.7 mg/L.
Anecdotal evidence suggests A field test kit indicated approximately 451.8 mg/L.
Anecdotal evidence suggests A field test kit indicated approximately 449.0 mg/L.
Per the verified data, The peer-reviewed measurement yielded 429.8 mg/L.
Unconfirmed data indicates An uncertified instrument read 110.5 mg/L.
The audited record indicates The peer-reviewed measurement yielded 75.0 mg/L.
---

ANSWER: [value1], [value2], [value3], ...",List ONLY the values from the verified/confirmed source.,
18,stroop_hard_020,stroop,Hard,"For each item, answer the question about the sentence as written.

1. Sentence: ""Paris is the capital of Australia""
   Question: What country is mentioned in the sentence?

2. Sentence: ""The Seine is the longest river in Africa""
   Question: What river is mentioned?

3. Sentence: ""Paris is the capital of Germany""
   Question: What country is mentioned in the sentence?

4. Sentence: ""Water boils at 75 degrees Celsius at sea level""
   Question: What temperature is mentioned in the sentence?

5. Sentence: ""Water boils at 92 degrees Celsius at sea level""
   Question: What temperature is mentioned in the sentence?

6. Sentence: ""The Seine is the longest river in South America""
   Question: What river is mentioned?

ANSWER:
1. [your answer]
2. [your answer]
3. [your answer]
4. [your answer]
5. [your answer]
6. [your answer]","Answer what the sentence LITERALLY says, even if it contains errors.",
19,shifting_easy_007,shifting,Easy,"Classify each word below according to the CURRENT rule.
The rule may change partway through — pay close attention.

RULE: Classify each word by FIRST LETTER: 'early' if A-M, 'late' if N-Z

1. hammer → ?
2. eagle → ?
3. mirror → ?

--- RULE CHANGE ---
NEW RULE: Classify each word by CATEGORY: animal, food, or object

4. shovel → ?
5. falcon → ?
6. walnut → ?

Format your answer as:
ANSWER:
1. [classification]
2. [classification]
3. [classification]
4. [classification]
5. [classification]
6. [classification]",Classify each word according to the CURRENT rule (the rule may change mid-task).,
20,ior_easy_001,inhibition_return,Easy,"Read the following 3 passages carefully, then answer each question.
Each question specifies which passage it refers to.

--- Passage A ---
Experiment EX-884 was conducted by Joaquin in lab C-05. The sample was heated to 120°C for 15 minutes. The resulting concentration was 45.1 mg/L. A shipment of textiles arrived from the south, packed in crates stamped with unfamiliar markings. The customs officer consulted her reference manual before clearing them. The pH of the solution measured 4.5 at completion.

--- Passage B ---
The warehouse at building 7 received a shipment on Friday. It contained 15 crates of electronics, each weighing 8 kilograms. The shipment was logged by Amara under reference number WH-7120. The workshop on Kenji Street had been there for decades, its walls darkened by time and soot. Inside, the hum of machinery was constant, a low vibration you felt in your teeth. The total value of the shipment was $9,100.

--- Passage C ---
The weather station at the coastal station recorded conditions on Tuesday. Temperature reached 27.8°C with humidity at 45%. Wind speed was measured at 52 km/h from the west. A street musician played something melancholy on a worn accordion. The tune drifted through the alley, mixing with the clatter of dishes from a restaurant kitchen. Barometric pressure stood at 1015 hPa.

Answer each question:
Q1. (About Passage B) Who logged the shipment?
Q2. (About Passage A) What was the resulting concentration?
Q3. (About Passage B) How many crates were in the shipment?

ANSWER:
1. [your answer]
2. [your answer]
3. [your answer]",Answer each question based on the relevant passage.,
21,shifting_medium_013,shifting,Medium,"Classify each word below according to the CURRENT rule.
The rule may change partway through — pay close attention.

RULE: Classify each word by CATEGORY: animal, food, or object

1. candle → ?
2. parrot → ?
3. falcon → ?
4. mango → ?

Rule change: Classify each word by FIRST LETTER: 'early' if A-M, 'late' if N-Z

5. shovel → ?
6. walnut → ?
7. donkey → ?
8. wrench → ?

Format your answer as:
ANSWER:
1. [classification]
2. [classification]
3. [classification]
4. [classification]
5. [classification]
6. [classification]
7. [classification]
8. [classification]",Classify each word according to the CURRENT rule (the rule may change mid-task).,
